index,income_total,income_type,gender,car,reality,child_num,edu_type,family_type,house_type,FLAG_MOBIL,phone_case,email,occyp_type,family_size,begin_month,YEARS_BIRTH,ADD_DAYS_BIRTH,YEARS_EMPLOYED,ADD_DAYS_EMPLOYED,credit
0,112500.0,Pensioner,F,N,Y,0,Secondary / secondary special,Separated,House / apartment,1,0,0,,1.0,-38.0,64,272,unemployed,unemployed,2.0
1,252000.0,State servant,M,Y,N,1,Higher education,Married,House / apartment,1,3,0,High skill tech staff,3.0,-11.0,34,73,4,190,0.0
2,180000.0,Commercial associate,M,N,N,0,Incomplete higher,Married,House / apartment,1,0,0,,2.0,-42.0,30,273,6,136,2.0
3,67500.0,Working,F,N,Y,2,Secondary / secondary special,Married,House / apartment,1,3,0,Laborers,4.0,-30.0,29,133,10,202,0.0
4,144000.0,Commercial associate,F,N,Y,1,Secondary / secondary special,Single / not married,House / apartment,1,3,0,Laborers,2.0,0.0,38,225,8,233,0.0
5,112500.0,Pensioner,F,N,Y,0,Secondary / secondary special,Widow,House / apartment,1,0,0,,1.0,-30.0,61,344,unemployed,unemployed,2.0
6,135000.0,Commercial associate,M,Y,Y,1,Higher education,Married,House / apartment,1,2,0,,3.0,-26.0,31,68,2,47,2.0
7,135000.0,Commercial associate,F,Y,Y,1,Higher education,Married,House / apartment,1,0,0,,3.0,-1.0,30,328,6,291,0.0
8,58500.0,Pensioner,F,Y,N,0,Secondary / secondary special,Married,House / apartment,1,0,0,,2.0,-44.0,55,240,unemployed,unemployed,1.0
9,787500.0,State servant,F,N,Y,0,Higher education,Married,House / apartment,1,0,1,Managers,2.0,-4.0,47,48,3,336,1.0
10,360000.0,Commercial associate,M,Y,N,1,Secondary / secondary special,Married,House / apartment,1,2,0,Managers,3.0,-31.0,45,113,10,196,2.0
11,135000.0,Working,F,N,N,0,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,2.0,-43.0,43,227,5,261,1.0
12,315000.0,State servant,M,Y,N,1,Secondary / secondary special,Married,House / apartment,1,0,1,High skill tech staff,3.0,-45.0,36,90,9,358,2.0
13,315000.0,State servant,F,Y,Y,1,Higher education,Married,House / apartment,1,0,0,Core staff,3.0,-23.0,37,266,5,255,0.0
14,139500.0,Commercial associate,F,N,Y,0,Secondary / secondary special,Married,House / apartment,1,1,0,,2.0,-50.0,56,74,15,232,1.0
15,360000.0,State servant,M,Y,N,1,Secondary / secondary special,Married,House / apartment,1,1,0,Drivers,3.0,-9.0,30,344,9,251,1.0
16,135000.0,Working,F,N,Y,1,Secondary / secondary special,Single / not married,House / apartment,1,0,0,Laborers,2.0,-55.0,46,278,22,295,2.0
17,135000.0,Working,F,N,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,Medicine staff,2.0,-59.0,55,36,28,70,2.0
18,315000.0,Commercial associate,M,Y,N,0,Higher education,Married,House / apartment,1,3,0,Managers,2.0,-37.0,38,67,13,108,2.0
19,184500.0,Working,M,Y,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,Drivers,2.0,-34.0,33,253,3,105,1.0
20,562500.0,Working,M,N,Y,1,Incomplete higher,Married,House / apartment,1,3,0,,3.0,-14.0,37,285,15,164,2.0
21,193500.0,Working,F,N,Y,0,Secondary / secondary special,Married,House / apartment,1,1,0,,2.0,-36.0,57,221,31,133,1.0
22,180000.0,State servant,M,Y,N,0,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,Core staff,2.0,-40.0,39,5,9,256,0.0
23,225000.0,Working,F,Y,N,0,Secondary / secondary special,Married,House / apartment,1,2,0,Managers,2.0,-59.0,40,67,2,68,2.0
24,270000.0,Commercial associate,F,N,Y,2,Higher education,Married,House / apartment,1,0,0,,4.0,-4.0,31,191,6,141,1.0
25,90000.0,Pensioner,F,N,Y,0,Secondary / secondary special,Married,House / apartment,1,0,1,,2.0,-12.0,60,223,unemployed,unemployed,1.0
26,81000.0,Commercial associate,F,N,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,Cooking staff,2.0,-25.0,49,41,1,34,2.0
27,112500.0,Working,F,Y,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,2.0,-4.0,47,47,4,327,0.0
28,270000.0,Pensioner,F,N,Y,0,Secondary / secondary special,Widow,House / apartment,1,0,0,,1.0,-7.0,63,315,unemployed,unemployed,2.0
29,180000.0,Working,F,N,N,0,Secondary / secondary special,Married,House / apartment,1,3,0,Core staff,2.0,-10.0,49,349,8,45,1.0
30,135000.0,Working,F,N,Y,0,Secondary / secondary special,Separated,House / apartment,1,0,0,Sales staff,1.0,-28.0,44,209,3,263,1.0
31,225000.0,Working,M,Y,Y,0,Higher education,Married,House / apartment,1,1,0,Laborers,2.0,-36.0,29,163,4,201,1.0
32,180000.0,Commercial associate,F,N,Y,2,Secondary / secondary special,Married,House / apartment,1,0,1,High skill tech staff,4.0,-27.0,28,234,1,140,1.0
33,67500.0,Working,F,N,Y,0,Higher education,Married,House / apartment,1,0,0,Core staff,2.0,-44.0,39,5,4,126,1.0
34,144000.0,Pensioner,F,N,Y,0,Higher education,Married,House / apartment,1,1,0,,2.0,-15.0,63,115,unemployed,unemployed,2.0
35,112500.0,Working,F,N,Y,0,Secondary / secondary special,Separated,House / apartment,1,1,0,Medicine staff,1.0,-27.0,43,122,6,217,1.0
36,157500.0,Commercial associate,F,N,N,1,Incomplete higher,Married,With parents,1,0,0,,3.0,-10.0,32,261,7,205,2.0
37,225000.0,Working,F,Y,N,1,Higher education,Married,With parents,1,0,0,Secretaries,3.0,-38.0,30,9,5,56,1.0
38,157500.0,Working,F,N,N,0,Secondary / secondary special,Married,House / apartment,1,2,0,Cooking staff,2.0,-2.0,51,266,8,233,1.0
39,180000.0,Commercial associate,F,N,Y,1,Higher education,Civil marriage,With parents,1,0,1,HR staff,3.0,-12.0,31,156,2,280,2.0
40,112500.0,Working,M,Y,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,2.0,-8.0,44,187,0,307,2.0
41,202500.0,Pensioner,F,N,Y,0,Secondary / secondary special,Married,House / apartment,1,1,0,,2.0,-21.0,51,137,unemployed,unemployed,2.0
42,157500.0,Commercial associate,F,Y,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,2.0,-7.0,34,264,1,291,1.0
43,135000.0,Working,F,N,Y,1,Secondary / secondary special,Widow,House / apartment,1,0,0,Sales staff,2.0,-59.0,42,345,0,305,1.0
44,202500.0,State servant,F,Y,N,0,Secondary / secondary special,Married,House / apartment,1,1,0,Medicine staff,2.0,-57.0,53,253,32,260,2.0
45,135000.0,Commercial associate,F,N,N,0,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,2.0,-3.0,36,345,10,106,1.0
46,135000.0,Commercial associate,M,Y,Y,0,Higher education,Single / not married,With parents,1,0,0,,1.0,-4.0,29,145,3,95,1.0
47,168750.0,Commercial associate,M,Y,Y,1,Higher education,Married,House / apartment,1,0,0,Managers,3.0,-5.0,48,126,9,38,1.0
48,315000.0,Commercial associate,M,Y,Y,1,Secondary / secondary special,Married,With parents,1,1,0,,3.0,-21.0,28,97,0,298,2.0
49,135000.0,Working,F,N,Y,0,Higher education,Single / not married,House / apartment,1,0,0,Managers,1.0,-2.0,24,340,3,38,1.0
50,117000.0,Pensioner,F,N,N,0,Secondary / secondary special,Widow,House / apartment,1,0,0,,1.0,-27.0,53,353,unemployed,unemployed,0.0
51,135000.0,Pensioner,F,N,Y,0,Secondary / secondary special,Single / not married,House / apartment,1,0,0,,1.0,-14.0,63,151,unemployed,unemployed,2.0
52,94500.0,Working,F,N,Y,2,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,4.0,-11.0,33,57,5,48,1.0
53,180000.0,Commercial associate,M,Y,Y,0,Secondary / secondary special,Single / not married,House / apartment,1,0,0,Drivers,1.0,-32.0,55,208,9,162,1.0
54,180000.0,Working,F,Y,N,0,Secondary / secondary special,Married,House / apartment,1,3,0,Laborers,2.0,-49.0,50,91,15,99,2.0
55,76500.0,Working,F,N,Y,2,Higher education,Married,House / apartment,1,0,0,Managers,4.0,-23.0,30,241,2,11,1.0
56,90000.0,Working,F,N,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,2.0,-22.0,50,215,14,226,2.0
57,180000.0,Commercial associate,F,Y,Y,3,Secondary / secondary special,Married,House / apartment,1,1,0,High skill tech staff,5.0,-51.0,31,48,1,356,0.0
58,157500.0,State servant,F,N,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,Medicine staff,2.0,-30.0,50,83,19,278,2.0
59,234000.0,State servant,F,N,N,0,Higher education,Civil marriage,House / apartment,1,0,1,Core staff,2.0,-21.0,60,67,14,105,2.0
60,220500.0,Pensioner,M,Y,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,,2.0,-30.0,63,118,unemployed,unemployed,2.0
61,135000.0,Working,M,N,N,0,Secondary / secondary special,Married,House / apartment,1,2,0,Drivers,2.0,-60.0,40,254,9,233,2.0
62,306000.0,Commercial associate,F,N,Y,0,Higher education,Married,House / apartment,1,3,1,,2.0,-28.0,40,297,9,150,2.0
63,144000.0,Working,M,Y,Y,1,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,3.0,-33.0,37,4,2,298,2.0
64,180000.0,State servant,F,N,N,1,Secondary / secondary special,Married,Municipal apartment,1,3,0,Laborers,3.0,-3.0,45,46,0,293,1.0
65,112500.0,State servant,F,N,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,High skill tech staff,2.0,-56.0,51,179,17,153,2.0
66,202500.0,Pensioner,M,Y,Y,0,Higher education,Married,House / apartment,1,0,0,,2.0,-25.0,64,276,unemployed,unemployed,2.0
67,126000.0,Commercial associate,F,N,N,0,Secondary / secondary special,Married,House / apartment,1,2,0,Managers,2.0,-9.0,45,283,15,285,1.0
68,90000.0,State servant,F,Y,Y,1,Secondary / secondary special,Married,House / apartment,1,0,0,Medicine staff,3.0,-48.0,48,12,22,14,1.0
69,180000.0,Commercial associate,M,Y,Y,1,Secondary / secondary special,Married,House / apartment,1,1,0,Laborers,3.0,-6.0,27,50,9,58,0.0
70,202500.0,Pensioner,F,N,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,,2.0,-58.0,59,319,unemployed,unemployed,2.0
71,45000.0,Working,F,Y,N,1,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,3.0,-25.0,29,308,11,215,1.0
72,157500.0,Working,F,Y,Y,0,Secondary / secondary special,Married,House / apartment,1,0,1,Sales staff,2.0,-47.0,29,152,5,253,2.0
73,112500.0,Pensioner,F,N,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,,2.0,-3.0,58,197,unemployed,unemployed,1.0
74,225000.0,Pensioner,M,Y,N,0,Secondary / secondary special,Married,House / apartment,1,0,0,,2.0,-12.0,47,212,unemployed,unemployed,1.0
75,157500.0,Working,M,N,Y,0,Secondary / secondary special,Single / not married,House / apartment,1,2,1,Drivers,1.0,-8.0,30,314,1,198,0.0
76,283500.0,Working,M,N,N,2,Secondary / secondary special,Married,House / apartment,1,0,0,High skill tech staff,4.0,-42.0,39,322,6,327,1.0
77,315000.0,Working,F,N,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,Medicine staff,2.0,-41.0,61,69,40,210,2.0
78,135000.0,Working,F,N,Y,2,Secondary / secondary special,Married,House / apartment,1,0,0,Security staff,4.0,-43.0,35,128,12,59,2.0
